Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
ID-003,Adams County,25.99,19,-6.47,32.46
ID-005,Bannock County,15.6,31,-3.89,19.49
ID-007,Bear Lake County,18.51,38,-2.91,21.42
ID-009,Benewah County,28.35,35,-3.01,31.36
ID-011,Bingham County,13.38,63,-0.12,13.5
ID-013,Blaine County,15.83,33,-2.98,18.81
ID-015,Boise County,23.05,12,-7.51,30.56
ID-017,Bonner County,30.33,21,-5.58,35.91
ID-019,Bonneville County,21.54,80,1.22,20.32
ID-021,Boundary County,33.2,27,-4.88,38.08
ID-023,Butte County,13.33,66,-0.25,13.58
ID-025,Camas County,18.2,13,-6.19,24.39
ID-027,Canyon County,7.19,15,-2.36,9.55
ID-029,Caribou County,19.77,43,-2.63,22.4
ID-031,Cassia County,14.03,46,-1.48,15.51
ID-033,Clark County,16.7,62,-0.41,17.11
ID-035,Clearwater County,43.76,51,-3,46.76
ID-037,Custer County,19.31,38,-3.28,22.59
ID-039,Elmore County,15.86,18,-4.31,20.17
ID-041,Franklin County,17.83,13,-5.2,23.03
ID-043,Fremont County,22.08,74,0.42,21.66
ID-045,Gem County,13.48,7,-5.3,18.78
ID-047,Gooding County,9.04,32,-2.14,11.18
ID-049,Idaho County,37.67,72,0.14,37.53
ID-051,Jefferson County,10.74,89,1.06,9.68
ID-053,Jerome County,8.67,46,-1.06,9.73
