Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
MI-063,Huron County,38.1,111,2.5,35.6
MI-065,Ingham County,39.2,112,2.8,36.4
MI-067,Ionia County,38.8,112,2.7,36.1
MI-069,Iosco County,35.7,107,2.4,33.3
MI-071,Iron County,27.7,95,1.3,26.4
MI-073,Isabella County,37.1,111,2.6,34.5
MI-075,Jackson County,39.6,118,3,36.6
MI-077,Kalamazoo County,40.8,121,3.8,37
MI-079,Kalkaska County,33.8,106,2.2,31.6
MI-081,Kent County,38.6,114,2.6,36
MI-083,Keweenaw County,31.1,97,1.4,29.7
MI-085,Lake County,35.1,105,1.8,33.3
MI-087,Lapeer County,39.4,116,3.3,36.1
MI-089,Leelanau County,36.6,107,2.4,34.2
MI-091,Lenawee County,40.7,118,2.8,37.9
MI-093,Livingston County,39,115,2.9,36.1
MI-095,Luce County,30.7,91,1,29.7
MI-097,Mackinac County,32.3,94,1.2,31.1
MI-099,Macomb County,41.6,116,3.3,38.3
MI-101,Manistee County,35.8,104,1.9,33.9
MI-103,Marquette County,29.4,90,0.9,28.5
MI-105,Mason County,36.4,103,1.7,34.7
MI-107,Mecosta County,35.5,108,2.1,33.4
MI-109,Menominee County,31.5,90,1.1,30.4
MI-111,Midland County,38.5,111,2.9,35.6
MI-113,Missaukee County,33.6,105,2.2,31.4
MI-115,Monroe County,42.4,121,3.2,39.2
MI-117,Montcalm County,37.3,113,2.7,34.6
MI-119,Montmorency County,32.8,100,1.6,31.2
MI-121,Muskegon County,38.4,109,2.3,36.1
MI-123,Newaygo County,36.1,107,2.1,34
MI-125,Oakland County,39.8,117,3.1,36.7
MI-127,Oceana County,37,107,2.1,34.9
MI-129,Ogemaw County,34.6,110,2.7,31.9
MI-131,Ontonagon County,29.8,99,1.4,28.4
MI-133,Osceola County,34.1,105,2,32.1
MI-135,Oscoda County,33.3,106,2.1,31.2
MI-137,Otsego County,32.2,94,1.4,30.8
MI-139,Ottawa County,39.6,110,2.4,37.2
